rank,weeks_on_list,primary_isbn10,primary_isbn13,publisher,title,author,date
6,2,0425229734,9780425229736,Berkley,DARK SLAYER,Christine Feehan,2009-09-29
7,4,1416563687,9781416563686,Touchstone/Simon & Schuster,THE WHITE QUEEN,Philippa Gregory,2009-09-29
8,1,0385518366,9780385518369,Doubleday,DEXTER BY DESIGN,Jeff Lindsay,2009-09-29
9,7,0307269981,9780307269980,Knopf,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,2009-09-29
10,19,0441017150,9780441017157,Ace,DEAD AND GONE,Charlaine Harris,2009-09-29
11,2,0375409289,9780375409288,Knopf,A GATE AT THE STAIRS,Lorrie Moore,2009-09-29
12,3,1439166234,9781439166239,Scribner,206 BONES,Kathy Reichs,2009-09-29
13,2,1400064945,9781400064946,Random House,HOMER & LANGLEY,E L Doctorow,2009-09-29
14,5,1401394531,9781401394530,Hyperion,THE ELEVENTH VICTIM,Nancy Grace,2009-09-29
15,6,0375414967,9780375414961,Knopf,THAT OLD CAPE MAGIC,Richard Russo,2009-09-29
1,1,0425229734,9780425229736,Berkley,DARK SLAYER,Christine Feehan,2009-09-22
2,2,0316072621,9780316072625,"Little, Brown",ALEX CROSS’S ‘TRIAL’,James Patterson and Richard DiLallo,2009-09-22
3,4,038541305X,9780385413053,Nan A. Talese/Doubleday,SOUTH OF BROAD,Pat Conroy,2009-09-22
4,1,0399156429,9780399156427,Putnam,SPARTAN GOLD,Clive Cussler with Grant Blackwood,2009-09-22
5,23,0399155341,9780399155345,Amy Einhorn/Putnam,THE HELP,Kathryn Stockett,2009-09-22
6,3,1416563687,9781416563686,Touchstone/Simon & Schuster,THE WHITE QUEEN,Philippa Gregory,2009-09-22
7,1,1400064945,9781400064946,Random House,HOMER & LANGLEY,E L Doctorow,2009-09-22
8,2,1439166234,9781439166239,Scribner,206 BONES,Kathy Reichs,2009-09-22
9,6,0307269981,9780307269980,Knopf,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,2009-09-22
10,1,0375409289,9780375409288,Knopf,A GATE AT THE STAIRS,Lorrie Moore,2009-09-22
11,4,1401394531,9781401394530,Hyperion,THE ELEVENTH VICTIM,Nancy Grace,2009-09-22
12,18,0441017150,9780441017157,Ace,DEAD AND GONE,Charlaine Harris,2009-09-22
13,5,0375414967,9780375414961,Knopf,THAT OLD CAPE MAGIC,Richard Russo,2009-09-22
14,1,0805087737,9780805087734,Holt,THE SPIRE,Richard North Patterson,2009-09-22
15,4,1416563083,9781416563082,Simon & Schuster,SMASH CUT,Sandra Brown,2009-09-22
1,1,0316072621,9780316072625,"Little, Brown",ALEX CROSS’S ‘TRIAL’,James Patterson and Richard DiLallo,2009-09-15
2,3,038541305X,9780385413053,Nan A. Talese/Doubleday,SOUTH OF BROAD,Pat Conroy,2009-09-15
3,22,0399155341,9780399155345,Amy Einhorn/Putnam,THE HELP,Kathryn Stockett,2009-09-15
4,1,1439166234,9781439166239,Scribner,206 BONES,Kathy Reichs,2009-09-15
5,2,1416563687,9781416563686,Touchstone/Simon & Schuster,THE WHITE QUEEN,Philippa Gregory,2009-09-15
6,5,0307269981,9780307269980,Knopf,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,2009-09-15
7,4,0375414967,9780375414961,Knopf,THAT OLD CAPE MAGIC,Richard Russo,2009-09-15
8,3,1401394531,9781401394530,Hyperion,THE ELEVENTH VICTIM,Nancy Grace,2009-09-15
9,1,0399155910,9780399155918,Putnam,EVEN MONEY,Dick Francis and Felix Francis,2009-09-15
10,17,0441017150,9780441017157,Ace,DEAD AND GONE,Charlaine Harris,2009-09-15
11,3,1416563083,9781416563082,Simon & Schuster,SMASH CUT,Sandra Brown,2009-09-15
12,2,0440338786,9780440338789,Delacorte,DREAMFEVER,Karen Marie Moning,2009-09-15
13,1,0451462904,9780451462909,Roc,THE SWORD OF THE LADY,S M Stirling,2009-09-15
14,2,0345509188,9780345509185,Del Rey/Ballantine/Lucas,ABYSS,Troy Denning,2009-09-15
15,7,0743294297,9780743294294,Atria,BEST FRIENDS FOREVER,Jennifer Weiner,2009-09-15
1,2,038541305X,9780385413053,Nan A. Talese/Doubleday,SOUTH OF BROAD,Pat Conroy,2009-09-08
2,1,1416563687,9781416563686,Touchstone/Simon & Schuster,THE WHITE QUEEN,Philippa Gregory,2009-09-08
3,1,0440338786,9780440338789,Delacorte,DREAMFEVER,Karen Marie Moning,2009-09-08
4,21,0399155341,9780399155345,Amy Einhorn/Putnam,THE HELP,Kathryn Stockett,2009-09-08
5,3,0375414967,9780375414961,Knopf,THAT OLD CAPE MAGIC,Richard Russo,2009-09-08
6,4,0307269981,9780307269980,Knopf,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,2009-09-08
7,1,0345509188,9780345509185,Del Rey/Ballantine/Lucas,ABYSS,Troy Denning,2009-09-08
8,2,1416563083,9781416563082,Simon & Schuster,SMASH CUT,Sandra Brown,2009-09-08
9,2,1401394531,9781401394530,Hyperion,THE ELEVENTH VICTIM,Nancy Grace,2009-09-08
10,1,0399156046,9780399156045,Putnam,THE LAW OF NINES,Terry Goodkind,2009-09-08
11,6,0743294297,9780743294294,Atria,BEST FRIENDS FOREVER,Jennifer Weiner,2009-09-08
12,16,0441017150,9780441017157,Ace,DEAD AND GONE,Charlaine Harris,2009-09-08
13,1,1429935669,9781429935661,St. Martin''s,VANISHED,Joseph Finder,2009-09-08
14,8,0316018775,9780316018777,"Little, Brown",SWIMSUIT,James Patterson and Maxine Paetro,2009-09-08
15,1,034551677X,9780345516770,Ballantine,A PRINCESS OF LANDOVER,Terry Brooks,2009-09-08
1,1,038541305X,9780385413053,Nan A. Talese/Doubleday,SOUTH OF BROAD,Pat Conroy,2009-09-01
2,1,1416563083,9781416563082,Simon & Schuster,SMASH CUT,Sandra Brown,2009-09-01
3,20,0399155341,9780399155345,Amy Einhorn/Putnam,THE HELP,Kathryn Stockett,2009-09-01
4,2,0375414967,9780375414961,Knopf,THAT OLD CAPE MAGIC,Richard Russo,2009-09-01
5,3,0307269981,9780307269980,Knopf,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,2009-09-01
6,1,1401394531,9781401394530,Hyperion,THE ELEVENTH VICTIM,Nancy Grace,2009-09-01
7,5,0743294297,9780743294294,Atria,BEST FRIENDS FOREVER,Jennifer Weiner,2009-09-01
8,7,0316018775,9780316018777,"Little, Brown",SWIMSUIT,James Patterson and Maxine Paetro,2009-09-01
9,1,1101081449,9781101081440,Viking,THE MAGICIANS,Lev Grossman,2009-09-01
10,4,0399155686,9780399155680,Putnam,THE DEFECTOR,Daniel Silva,2009-09-01
11,2,1594202249,9781594202247,Penguin Press,INHERENT VICE,Thomas Pynchon,2009-09-01
12,2,1429983760,9781429983761,St. Martin’s,BAD MOON RISING,Sherrilyn Kenyon,2009-09-01
13,15,0441017150,9780441017157,Ace,DEAD AND GONE,Charlaine Harris,2009-09-01
14,1,0061702323,9780061702327,Morrow/HarperCollins,BLINDMAN'S BLUFF,Faye Kellerman,2009-09-01
15,1,0399155708,9780399155703,Putnam,INTERVENTION,Robin Cook,2009-09-01
1,1,1429983760,9781429983761,St. Martin’s,BAD MOON RISING,Sherrilyn Kenyon,2009-08-25
2,1,0375414967,9780375414961,Knopf,THAT OLD CAPE MAGIC,Richard Russo,2009-08-25
3,19,0399155341,9780399155345,Amy Einhorn/Putnam,THE HELP,Kathryn Stockett,2009-08-25
4,2,0307269981,9780307269980,Knopf,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,2009-08-25
5,1,1594202249,9781594202247,Penguin Press,INHERENT VICE,Thomas Pynchon,2009-08-25
6,4,0743294297,9780743294294,Atria,BEST FRIENDS FOREVER,Jennifer Weiner,2009-08-25
7,1,0399155864,9780399155864,Putnam,THE TRAFFICKERS,WEB Griffin and William E Butterworth IV,2009-08-25
8,3,0399155686,9780399155680,Putnam,THE DEFECTOR,Daniel Silva,2009-08-25
9,6,0316018775,9780316018777,"Little, Brown",SWIMSUIT,James Patterson and Maxine Paetro,2009-08-25
10,14,0441017150,9780441017157,Ace,DEAD AND GONE,Charlaine Harris,2009-08-25
11,1,0385524072,9780385524070,Doubleday,RULES OF VENGEANCE,Christopher Reich,2009-08-25
12,3,0385342020,9780385342025,Dial,TWENTIES GIRL,Sophie Kinsella,2009-08-25
13,5,0399155872,9780399155871,Putnam,BLACK HILLS,Nora Roberts,2009-08-25
14,7,0312383282,9780312383282,St. Martin’s,FINGER LICKIN’ FIFTEEN,Janet Evanovich,2009-08-25
15,1,0765322722,9780765322722,Tor/ Tom Doherty,THE WINDS OF DUNE,Brian Herbert and Kevin J Anderson,2009-08-25
1,1,0307269981,9780307269980,Knopf,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,2009-08-18
2,2,0399155686,9780399155680,Putnam,THE DEFECTOR,Daniel Silva,2009-08-18
3,3,0743294297,9780743294294,Atria,BEST FRIENDS FOREVER,Jennifer Weiner,2009-08-18
4,18,0399155341,9780399155345,Amy Einhorn/Putnam,THE HELP,Kathryn Stockett,2009-08-18
5,5,0316018775,9780316018777,"Little, Brown",SWIMSUIT,James Patterson and Maxine Paetro,2009-08-18
6,2,0385342020,9780385342025,Dial,TWENTIES GIRL,Sophie Kinsella,2009-08-18
7,1,0345501578,9780345501578,Ballantine,HOT PURSUIT,Suzanne Brockmann,2009-08-18
8,4,0399155872,9780399155871,Putnam,BLACK HILLS,Nora Roberts,2009-08-18
9,6,0312383282,9780312383282,St. Martin’s,FINGER LICKIN’ FIFTEEN,Janet Evanovich,2009-08-18
10,2,0061239224,9780061239229,Morrow/HarperCollins,FIRE AND ICE,J A Jance,2009-08-18
11,13,0441017150,9780441017157,Ace,DEAD AND GONE,Charlaine Harris,2009-08-18
12,59,0316068047,9780316068048,"Little, Brown",THE HOST,Stephenie Meyer,2009-08-18
13,4,0743292510,9780743292511,Scribner,THE DEVIL’S PUNCHBOWL,Greg Iles,2009-08-18
14,10,1400067111,9781400067114,Random House,SHANGHAI GIRLS,Lisa See,2009-08-18
15,3,1439128243,9781439128244,Simon & Schuster,RAIN GODS,James Lee Burke,2009-08-18
1,1,0399155686,9780399155680,Putnam,THE DEFECTOR,Daniel Silva,2009-08-11
2,2,0743294297,9780743294294,Atria,BEST FRIENDS FOREVER,Jennifer Weiner,2009-08-11
3,4,0316018775,9780316018777,"Little, Brown",SWIMSUIT,James Patterson and Maxine Paetro,2009-08-11
4,1,0385342020,9780385342025,Dial,TWENTIES GIRL,Sophie Kinsella,2009-08-11
5,17,0399155341,9780399155345,Amy Einhorn/Putnam,THE HELP,Kathryn Stockett,2009-08-11
6,3,0399155872,9780399155871,Putnam,BLACK HILLS,Nora Roberts,2009-08-11
7,5,0312383282,9780312383282,St. Martin’s,FINGER LICKIN’ FIFTEEN,Janet Evanovich,2009-08-11
8,1,0061239224,9780061239229,Morrow/HarperCollins,FIRE AND ICE,J A Jance,2009-08-11
9,3,0743292510,9780743292511,Scribner,THE DEVIL’S PUNCHBOWL,Greg Iles,2009-08-11
10,2,1439128243,9781439128244,Simon & Schuster,RAIN GODS,James Lee Burke,2009-08-11
11,12,0441017150,9780441017157,Ace,DEAD AND GONE,Charlaine Harris,2009-08-11
12,4,1416586571,9781416586579,Atria,THE APOSTLE,Brad Thor,2009-08-11
13,5,0061231401,9780061231407,Morrow/HarperCollins,THE DOOMSDAY KEY,James Rollins,2009-08-11
14,5,0385528701,9780385528702,Doubleday,THE ANGEL'S GAME,Carlos Ruiz Zafón,2009-08-11
15,9,1400067111,9781400067114,Random House,SHANGHAI GIRLS,Lisa See,2009-08-11
1,1,0743294297,9780743294294,Atria,BEST FRIENDS FOREVER,Jennifer Weiner,2009-08-04
2,3,0316018775,9780316018777,"Little, Brown",SWIMSUIT,James Patterson and Maxine Paetro,2009-08-04
3,2,0399155872,9780399155871,Putnam,BLACK HILLS,Nora Roberts,2009-08-04
4,4,0312383282,9780312383282,St. Martin’s,FINGER LICKIN’ FIFTEEN,Janet Evanovich,2009-08-04
5,16,0399155341,9780399155345,Amy Einhorn/Putnam,THE HELP,Kathryn Stockett,2009-08-04
6,1,1439128243,9781439128244,Simon & Schuster,RAIN GODS,James Lee Burke,2009-08-04
7,4,0061231401,9780061231407,Morrow/HarperCollins,THE DOOMSDAY KEY,James Rollins,2009-08-04
8,2,0743292510,9780743292511,Scribner,THE DEVIL’S PUNCHBOWL,Greg Iles,2009-08-04
9,3,1416586571,9781416586579,Atria,THE APOSTLE,Brad Thor,2009-08-04
10,1,0061230901,9780061230905,Morrow/HarperCollins,GUARDIAN OF LIES,Steve Martini,2009-08-04
11,2,0316076317,9780316076319,"Little, Brown",THE CASTAWAYS,Elin Hilderbrand,2009-08-04
12,11,0441017150,9780441017157,Ace,DEAD AND GONE,Charlaine Harris,2009-08-04
13,8,1400067111,9781400067114,Random House,SHANGHAI GIRLS,Lisa See,2009-08-04
14,1,0385341962,9780385341967,Delacorte,UNDONE,Karin Slaughter,2009-08-04
15,3,0061438456,9780061438455,Morrow/HarperCollins,RETURN TO SULLIVANS ISLAND,Dorothea Benton Frank,2009-08-04
1,1,0399155872,9780399155871,Putnam,BLACK HILLS,Nora Roberts,2009-07-28
2,2,0316018775,9780316018777,"Little, Brown",SWIMSUIT,James Patterson and Maxine Paetro,2009-07-28
3,3,0312383282,9780312383282,St. Martin’s,FINGER LICKIN’ FIFTEEN,Janet Evanovich,2009-07-28
4,1,0743292510,9780743292511,Scribner,THE DEVIL’S PUNCHBOWL,Greg Iles,2009-07-28
5,2,1416586571,9781416586579,Atria,THE APOSTLE,Brad Thor,2009-07-28
6,1,0345486560,9780345486561,Ballantine,BURN,Linda Howard,2009-07-28
7,3,0061231401,9780061231407,Morrow/HarperCollins,THE DOOMSDAY KEY,James Rollins,2009-07-28
8,15,0399155341,9780399155345,Amy Einhorn/Putnam,THE HELP,Kathryn Stockett,2009-07-28
9,2,0061438456,9780061438455,Morrow/HarperCollins,RETURN TO SULLIVANS ISLAND,Dorothea Benton Frank,2009-07-28
10,1,0316076317,9780316076319,"Little, Brown",THE CASTAWAYS,Elin Hilderbrand,2009-07-28
11,1,0765315033,9780765315038,Tor/Tom Doherty,BY HERESIES DISTRESSED,David Weber,2009-07-28
12,7,1400067111,9781400067114,Random House,SHANGHAI GIRLS,Lisa See,2009-07-28
13,4,0385528701,9780385528702,Doubleday,THE ANGEL'S GAME,Carlos Ruiz Zafón,2009-07-28
14,4,0399155848,9780399155840,Putnam,KNOCKOUT,Catherine Coulter,2009-07-28
15,5,1401340903,9781401340902,Voice,THE PHYSICK BOOK OF DELIVERANCE DANE,Katherine Howe,2009-07-28
1,1,0316018775,9780316018777,"Little, Brown",SWIMSUIT,James Patterson and Maxine Paetro,2009-07-21
2,2,0312383282,9780312383282,St. Martin’s,FINGER LICKIN’ FIFTEEN,Janet Evanovich,2009-07-21
3,1,1416586571,9781416586579,Atria,THE APOSTLE,Brad Thor,2009-07-21
4,3,0399155848,9780399155840,Putnam,KNOCKOUT,Catherine Coulter,2009-07-21
5,2,0061231401,9780061231407,Morrow/HarperCollins,THE DOOMSDAY KEY,James Rollins,2009-07-21
6,6,1400067111,9781400067114,Random House,SHANGHAI GIRLS,Lisa See,2009-07-21
7,4,0446539821,9780446539821,Grand Central,THE BOURNE DECEPTION,Eric Van Lustbader,2009-07-21
8,3,0385528701,9780385528702,Doubleday,THE ANGEL'S GAME,Carlos Ruiz Zafón,2009-07-21
9,14,0399155341,9780399155345,Amy Einhorn/Putnam,THE HELP,Kathryn Stockett,2009-07-21
10,4,1401340903,9781401340902,Voice,THE PHYSICK BOOK OF DELIVERANCE DANE,Katherine Howe,2009-07-21
11,4,0553807145,9780553807141,Bantam,RELENTLESS,Dean Koontz,2009-07-21
12,1,0525950923,9780525950929,Dutton,A PLAGUE OF SECRETS,John Lescroart,2009-07-21
13,9,0441017150,9780441017157,Ace,DEAD AND GONE,Charlaine Harris,2009-07-21
14,1,0061438456,9780061438455,Morrow/HarperCollins,RETURN TO SULLIVANS ISLAND,Dorothea Benton Frank,2009-07-21
15,6,0316166308,9780316166300,"Little, Brown",THE SCARECROW,Michael Connelly,2009-07-21
1,1,0312383282,9780312383282,St. Martin’s,FINGER LICKIN’ FIFTEEN,Janet Evanovich,2009-07-14
2,1,0061231401,9780061231407,Morrow/HarperCollins,THE DOOMSDAY KEY,James Rollins,2009-07-14
3,2,0399155848,9780399155840,Putnam,KNOCKOUT,Catherine Coulter,2009-07-14
4,1,0345509129,9780345509123,Del Rey/Ballantine,OMEN,Christie Golden,2009-07-14
5,2,0385528701,9780385528702,Doubleday,THE ANGEL'S GAME,Carlos Ruiz Zafón,2009-07-14
6,3,0446539821,9780446539821,Grand Central,THE BOURNE DECEPTION,Eric Van Lustbader,2009-07-14
7,3,0553807145,9780553807141,Bantam,RELENTLESS,Dean Koontz,2009-07-14
8,3,1401340903,9781401340902,Voice,THE PHYSICK BOOK OF DELIVERANCE DANE,Katherine Howe,2009-07-14
9,5,1400067111,9781400067114,Random House,SHANGHAI GIRLS,Lisa See,2009-07-14
10,4,0399155651,9780399155659,Putnam,MEDUSA,Clive Cussler and Paul Kemprecos,2009-07-14
11,5,0316166308,9780316166300,"Little, Brown",THE SCARECROW,Michael Connelly,2009-07-14
12,13,0399155341,9780399155345,Amy Einhorn/Putnam,THE HELP,Kathryn Stockett,2009-07-14
13,1,0060837381,9780060837389,Harper/HarperCollins,THE FIXER UPPER,Mary Kay Andrews,2009-07-14
14,8,0441017150,9780441017157,Ace,DEAD AND GONE,Charlaine Harris,2009-07-14
15,58,0316068047,9780316068048,"Little, Brown",THE HOST,Stephenie Meyer,2009-07-14
1,1,0399155848,9780399155840,Putnam,KNOCKOUT,Catherine Coulter,2009-07-07
2,2,0446539821,9780446539821,Grand Central,THE BOURNE DECEPTION,Eric Van Lustbader,2009-07-07
3,1,0385528701,9780385528702,Doubleday,THE ANGEL'S GAME,Carlos Ruiz Zafón,2009-07-07
4,2,0553807145,9780553807141,Bantam,RELENTLESS,Dean Koontz,2009-07-07
5,2,1401340903,9781401340902,Voice,THE PHYSICK BOOK OF DELIVERANCE DANE,Katherine Howe,2009-07-07
6,4,0316166308,9780316166300,"Little, Brown",THE SCARECROW,Michael Connelly,2009-07-07
7,3,0399155651,9780399155659,Putnam,MEDUSA,Clive Cussler and Paul Kemprecos,2009-07-07
8,4,1400067111,9781400067114,Random House,SHANGHAI GIRLS,Lisa See,2009-07-07
9,1,0553807234,9780553807233,Bantam,THE NEIGHBOR,Lisa Gardner,2009-07-07
10,5,0739328468,9780739328460,Delacorte,GONE TOMORROW,Lee Child,2009-07-07
11,3,0425227723,9780425227725,Berkley,SKIN TRADE,Laurell K Hamilton,2009-07-07
12,9,044654695X,9780446546959,Grand Central,FIRST FAMILY,David Baldacci,2009-07-07
13,7,0441017150,9780441017157,Ace,DEAD AND GONE,Charlaine Harris,2009-07-07
14,1,0670020869,9780670020867,Viking,DUNE ROAD,Jane Green,2009-07-07
15,12,0399155341,9780399155345,Amy Einhorn/Putnam,THE HELP,Kathryn Stockett,2009-07-07
1,1,0553807145,9780553807141,Bantam,RELENTLESS,Dean Koontz,2009-06-30
2,1,1401340903,9781401340902,Voice,THE PHYSICK BOOK OF DELIVERANCE DANE,Katherine Howe,2009-06-30
3,1,0446539821,9780446539821,Grand Central,THE BOURNE DECEPTION,Eric Van Lustbader,2009-06-30
4,3,0316166308,9780316166300,"Little, Brown",THE SCARECROW,Michael Connelly,2009-06-30
5,2,0399155651,9780399155659,Putnam,MEDUSA,Clive Cussler and Paul Kemprecos,2009-06-30
6,2,0425227723,9780425227725,Berkley,SKIN TRADE,Laurell K Hamilton,2009-06-30
7,3,1400067111,9781400067114,Random House,SHANGHAI GIRLS,Lisa See,2009-06-30
8,1,1416549994,9781416549994,Simon & Schuster,ROADSIDE CROSSES,Jeffery Deaver,2009-06-30
9,4,0739328468,9780739328460,Delacorte,GONE TOMORROW,Lee Child,2009-06-30
10,2,0385340273,9780385340274,Delacorte,MATTERS OF THE HEART,Danielle Steel,2009-06-30
11,7,0316018767,9780316018760,"Little, Brown",THE 8TH CONFESSION,James Patterson and Maxine Paetro,2009-06-30
12,6,0441017150,9780441017157,Ace,DEAD AND GONE,Charlaine Harris,2009-06-30
13,57,0316068047,9780316068048,"Little, Brown",THE HOST,Stephenie Meyer,2009-06-30
14,5,0399155678,9780399155673,Putnam,WICKED PREY,John Sandford,2009-06-30
15,8,044654695X,9780446546959,Grand Central,FIRST FAMILY,David Baldacci,2009-06-30
1,1,0425227723,9780425227725,Berkley,SKIN TRADE,Laurell K Hamilton,2009-06-23
2,1,0399155651,9780399155659,Putnam,MEDUSA,Clive Cussler and Paul Kemprecos,2009-06-23
3,2,0316166308,9780316166300,"Little, Brown",THE SCARECROW,Michael Connelly,2009-06-23
4,2,1400067111,9781400067114,Random House,SHANGHAI GIRLS,Lisa See,2009-06-23
5,1,0385340273,9780385340274,Delacorte,MATTERS OF THE HEART,Danielle Steel,2009-06-23
6,3,0739328468,9780739328460,Delacorte,GONE TOMORROW,Lee Child,2009-06-23
7,5,0441017150,9780441017157,Ace,DEAD AND GONE,Charlaine Harris,2009-06-23
8,6,0316018767,9780316018760,"Little, Brown",THE 8TH CONFESSION,James Patterson and Maxine Paetro,2009-06-23
9,1,0061558230,9780061558238,William Morrow,THE STRAIN,Guillermo del Toro and Chuck Hogan,2009-06-23
10,4,0399155678,9780399155673,Putnam,WICKED PREY,John Sandford,2009-06-23
11,56,0316068047,9780316068048,"Little, Brown",THE HOST,Stephenie Meyer,2009-06-23
12,7,044654695X,9780446546959,Grand Central,FIRST FAMILY,David Baldacci,2009-06-23
13,4,0446580295,9780446580298,Grand Central,CEMETERY DANCE,Douglas Preston and Lincoln Child,2009-06-23
14,1,0425227731,9780425227732,Berkley Sensation,UNDEAD AND UNWELCOME,MaryJanice Davidson,2009-06-23
15,10,0399155341,9780399155345,Amy Einhorn/Putnam,THE HELP,Kathryn Stockett,2009-06-23
1,1,0316166308,9780316166300,"Little, Brown",THE SCARECROW,Michael Connelly,2009-06-16
2,2,0739328468,9780739328460,Delacorte,GONE TOMORROW,Lee Child,2009-06-16
3,3,0399155678,9780399155673,Putnam,WICKED PREY,John Sandford,2009-06-16
4,1,1400067111,9781400067114,Random House,SHANGHAI GIRLS,Lisa See,2009-06-16
5,5,0316018767,9780316018760,"Little, Brown",THE 8TH CONFESSION,James Patterson and Maxine Paetro,2009-06-16
6,4,0441017150,9780441017157,Ace,DEAD AND GONE,Charlaine Harris,2009-06-16
7,3,0446580295,9780446580298,Grand Central,CEMETERY DANCE,Douglas Preston and Lincoln Child,2009-06-16
8,6,044654695X,9780446546959,Grand Central,FIRST FAMILY,David Baldacci,2009-06-16
9,55,0316068047,9780316068048,"Little, Brown",THE HOST,Stephenie Meyer,2009-06-16
10,4,0385526342,9780385526340,Doubleday,PYGMY,Chuck Palahniuk,2009-06-16
11,9,0399155341,9780399155345,Amy Einhorn/Putnam,THE HELP,Kathryn Stockett,2009-06-16
12,1,0373773781,9780373773787,HQN,HEARTLESS,Diana Palmer,2009-06-16
13,6,0375424490,9780375424496,Pantheon,TEA TIME FOR THE TRADITIONALLY BUILT,Alexander McCall Smith,2009-06-16
14,2,0525950974,9780525950974,Dutton,THE SIGN,Raymond Khoury,2009-06-16
15,3,0312567243,9780312567248,Thomas Dunne/St. Martin’s,ASSEGAI,Wilbur Smith,2009-06-16
1,1,0739328468,9780739328460,Delacorte,GONE TOMORROW,Lee Child,2009-06-09
2,2,0399155678,9780399155673,Putnam,WICKED PREY,John Sandford,2009-06-09
3,4,0316018767,9780316018760,"Little, Brown",THE 8TH CONFESSION,James Patterson and Maxine Paetro,2009-06-09
4,3,0441017150,9780441017157,Ace,DEAD AND GONE,Charlaine Harris,2009-06-09
5,2,0446580295,9780446580298,Grand Central,CEMETERY DANCE,Douglas Preston and Lincoln Child,2009-06-09
6,5,044654695X,9780446546959,Grand Central,FIRST FAMILY,David Baldacci,2009-06-09
7,54,0316068047,9780316068048,"Little, Brown",THE HOST,Stephenie Meyer,2009-06-09
8,3,0385526342,9780385526340,Doubleday,PYGMY,Chuck Palahniuk,2009-06-09
9,1,0525950974,9780525950974,Dutton,THE SIGN,Raymond Khoury,2009-06-09
10,1,0385341059,9780385341059,Delacorte,SEDUCING AN ANGEL,Mary Balogh,2009-06-09
11,8,0399155341,9780399155345,Amy Einhorn/Putnam,THE HELP,Kathryn Stockett,2009-06-09
12,5,0375424490,9780375424496,Pantheon,TEA TIME FOR THE TRADITIONALLY BUILT,Alexander McCall Smith,2009-06-09
13,2,0312567243,9780312567248,Thomas Dunne/St. Martin’s,ASSEGAI,Wilbur Smith,2009-06-09
14,2,0061733148,9780061733147,William Morrow,ROAD DOGS,Elmore Leonard,2009-06-09
15,7,1416570861,9781416570868,Simon & Schuster,JUST TAKE MY HEART,Mary Higgins Clark,2009-06-09
1,1,0399155678,9780399155673,Putnam,WICKED PREY,John Sandford,2009-06-02
2,1,0446580295,9780446580298,Grand Central,CEMETERY DANCE,Douglas Preston and Lincoln Child,2009-06-02
3,2,0441017150,9780441017157,Ace,DEAD AND GONE,Charlaine Harris,2009-06-02
4,3,0316018767,9780316018760,"Little, Brown",THE 8TH CONFESSION,James Patterson and Maxine Paetro,2009-06-02
5,4,044654695X,9780446546959,Grand Central,FIRST FAMILY,David Baldacci,2009-06-02
6,2,0385526342,9780385526340,Doubleday,PYGMY,Chuck Palahniuk,2009-06-02
7,53,0316068047,9780316068048,"Little, Brown",THE HOST,Stephenie Meyer,2009-06-02
8,4,0375424490,9780375424496,Pantheon,TEA TIME FOR THE TRADITIONALLY BUILT,Alexander McCall Smith,2009-06-02
9,1,0312567243,9780312567248,Thomas Dunne/St. Martin’s,ASSEGAI,Wilbur Smith,2009-06-02
10,1,0312359322,9780312359324,Minotaur,THE LAST CHILD,John Hart,2009-06-02
11,6,1416570861,9781416570868,Simon & Schuster,JUST TAKE MY HEART,Mary Higgins Clark,2009-06-02
12,3,0778326438,9780778326434,Mira,SUMMER ON BLOSSOM STREET,Debbie Macomber,2009-06-02
13,1,0061733148,9780061733147,William Morrow,ROAD DOGS,Elmore Leonard,2009-06-02
14,3,045122857X,9780451228574,New American Library,LOVER AVENGED,JR Ward,2009-06-02
15,4,0399155783,9780399155789,Putnam,LOITERING WITH INTENT,Stuart Woods,2009-06-02
1,1,0441017150,9780441017157,Ace,DEAD AND GONE,Charlaine Harris,2009-05-26
2,2,0316018767,9780316018760,"Little, Brown",THE 8TH CONFESSION,James Patterson and Maxine Paetro,2009-05-26
3,1,0385526342,9780385526340,Doubleday,PYGMY,Chuck Palahniuk,2009-05-26
4,3,044654695X,9780446546959,Grand Central,FIRST FAMILY,David Baldacci,2009-05-26
5,3,0375424490,9780375424496,Pantheon,TEA TIME FOR THE TRADITIONALLY BUILT,Alexander McCall Smith,2009-05-26
6,5,1416570861,9781416570868,Simon & Schuster,JUST TAKE MY HEART,Mary Higgins Clark,2009-05-26
7,2,0778326438,9780778326434,Mira,SUMMER ON BLOSSOM STREET,Debbie Macomber,2009-05-26
8,52,0316068047,9780316068048,"Little, Brown",THE HOST,Stephenie Meyer,2009-05-26
9,2,045122857X,9780451228574,New American Library,LOVER AVENGED,JR Ward,2009-05-26
10,1,0547273428,9780547273426,Houghton Mifflin Harcourt,THE LEGEND OF SIGURD AND GUDRUN,J R R Tolkien,2009-05-26
11,1,0399155716,9780399155710,Putnam,BRIMSTONE,Robert B Parker,2009-05-26
12,7,0399155341,9780399155345,Amy Einhorn/Putnam,THE HELP,Kathryn Stockett,2009-05-26
13,3,0399155783,9780399155789,Putnam,LOITERING WITH INTENT,Stuart Woods,2009-05-26
